population,relationship_type,loci_set,proportion_exceeding_fixed,proportion_exceeding_1,proportion_exceeding_0_1,proportion_exceeding_0_01,n_related
AfAm,cousins,core_13,0.54,0.54,0.54,0.54,50
AfAm,cousins,identifiler_15,0.58,0.58,0.58,0.58,50
AfAm,cousins,expanded_20,0.58,0.58,0.58,0.58,50
AfAm,cousins,supplementary,0.6,0.6,0.6,0.6,50
AfAm,cousins,autosomal_29,0.68,0.68,0.68,0.68,50
AfAm,full_siblings,core_13,1,1,1,1,50
AfAm,full_siblings,identifiler_15,0.98,0.98,0.98,0.98,50
AfAm,full_siblings,expanded_20,1,1,1,1,50
AfAm,full_siblings,supplementary,1,1,1,1,50
AfAm,full_siblings,autosomal_29,1,1,1,1,50
AfAm,half_siblings,core_13,0.76,0.76,0.76,0.76,50
AfAm,half_siblings,identifiler_15,0.78,0.78,0.78,0.78,50
AfAm,half_siblings,expanded_20,0.88,0.88,0.88,0.88,50
AfAm,half_siblings,supplementary,0.9,0.9,0.9,0.9,50
AfAm,half_siblings,autosomal_29,0.94,0.94,0.94,0.94,50
AfAm,parent_child,core_13,1,1,1,1,50
AfAm,parent_child,identifiler_15,1,1,1,1,50
AfAm,parent_child,expanded_20,1,1,1,1,50
AfAm,parent_child,supplementary,1,1,1,1,50
AfAm,parent_child,autosomal_29,1,1,1,1,50
AfAm,second_cousins,core_13,0.48,0.48,0.48,0.48,50
AfAm,second_cousins,identifiler_15,0.5,0.5,0.5,0.5,50
AfAm,second_cousins,expanded_20,0.42,0.42,0.42,0.42,50
AfAm,second_cousins,supplementary,0.44,0.44,0.44,0.44,50
AfAm,second_cousins,autosomal_29,0.5,0.5,0.5,0.5,50
Asian,cousins,core_13,0.66,0.66,0.66,0.66,50
Asian,cousins,identifiler_15,0.7,0.7,0.7,0.7,50
Asian,cousins,expanded_20,0.7,0.7,0.7,0.7,50
Asian,cousins,supplementary,0.64,0.64,0.64,0.64,50
Asian,cousins,autosomal_29,0.66,0.66,0.66,0.66,50
Asian,full_siblings,core_13,0.9,0.9,0.9,0.9,50
Asian,full_siblings,identifiler_15,0.9,0.9,0.9,0.9,50
Asian,full_siblings,expanded_20,1,1,1,1,50
Asian,full_siblings,supplementary,1,1,1,1,50
Asian,full_siblings,autosomal_29,1,1,1,1,50
Asian,half_siblings,core_13,0.8,0.8,0.8,0.8,50
Asian,half_siblings,identifiler_15,0.8,0.8,0.8,0.8,50
Asian,half_siblings,expanded_20,0.88,0.88,0.88,0.88,50
Asian,half_siblings,supplementary,0.88,0.88,0.88,0.88,50
Asian,half_siblings,autosomal_29,0.96,0.96,0.96,0.96,50
Asian,parent_child,core_13,1,1,1,1,50
Asian,parent_child,identifiler_15,1,1,1,1,50
Asian,parent_child,expanded_20,1,1,1,1,50
