population,relationship_type,loci_set,proportion_exceeding_fixed,proportion_exceeding_1,proportion_exceeding_0_1,proportion_exceeding_0_01,n_related
AfAm,cousins,core_13,0.53,0.53,0.53,0.53,100
AfAm,cousins,identifiler_15,0.55,0.55,0.55,0.55,100
AfAm,cousins,expanded_20,0.59,0.59,0.59,0.59,100
AfAm,cousins,supplementary,0.62,0.62,0.62,0.62,100
AfAm,cousins,autosomal_29,0.62,0.62,0.62,0.62,100
AfAm,full_siblings,core_13,0.94,0.94,0.94,0.94,100
AfAm,full_siblings,identifiler_15,0.95,0.95,0.95,0.95,100
AfAm,full_siblings,expanded_20,1,1,1,1,100
AfAm,full_siblings,supplementary,0.99,0.99,0.99,0.99,100
AfAm,full_siblings,autosomal_29,0.99,0.99,0.99,0.99,100
AfAm,half_siblings,core_13,0.89,0.89,0.89,0.89,100
AfAm,half_siblings,identifiler_15,0.9,0.9,0.9,0.9,100
AfAm,half_siblings,expanded_20,0.92,0.92,0.92,0.92,100
AfAm,half_siblings,supplementary,0.94,0.94,0.94,0.94,100
AfAm,half_siblings,autosomal_29,0.93,0.93,0.93,0.93,100
AfAm,parent_child,core_13,1,1,1,1,100
AfAm,parent_child,identifiler_15,1,1,1,1,100
AfAm,parent_child,expanded_20,1,1,1,1,100
AfAm,parent_child,supplementary,1,1,1,1,100
AfAm,parent_child,autosomal_29,1,1,1,1,100
AfAm,second_cousins,core_13,0.54,0.54,0.54,0.54,100
AfAm,second_cousins,identifiler_15,0.56,0.56,0.56,0.56,100
AfAm,second_cousins,expanded_20,0.47,0.47,0.47,0.47,100
AfAm,second_cousins,supplementary,0.48,0.48,0.48,0.48,100
AfAm,second_cousins,autosomal_29,0.58,0.58,0.58,0.58,100
Asian,cousins,core_13,0.56,0.56,0.56,0.56,100
Asian,cousins,identifiler_15,0.57,0.57,0.57,0.57,100
Asian,cousins,expanded_20,0.57,0.57,0.57,0.57,100
Asian,cousins,supplementary,0.59,0.59,0.59,0.59,100
Asian,cousins,autosomal_29,0.57,0.57,0.57,0.57,100
Asian,full_siblings,core_13,0.96,0.96,0.96,0.96,100
Asian,full_siblings,identifiler_15,0.96,0.96,0.96,0.96,100
Asian,full_siblings,expanded_20,0.99,0.99,0.99,0.99,100
Asian,full_siblings,supplementary,0.98,0.98,0.98,0.98,100
Asian,full_siblings,autosomal_29,0.99,0.99,0.99,0.99,100
Asian,half_siblings,core_13,0.86,0.86,0.86,0.86,100
Asian,half_siblings,identifiler_15,0.91,0.91,0.91,0.91,100
Asian,half_siblings,expanded_20,0.9,0.9,0.9,0.9,100
Asian,half_siblings,supplementary,0.96,0.96,0.96,0.96,100
Asian,half_siblings,autosomal_29,0.95,0.95,0.95,0.95,100
Asian,parent_child,core_13,1,1,1,1,100
Asian,parent_child,identifiler_15,1,1,1,1,100
Asian,parent_child,expanded_20,1,1,1,1,100
Asian,parent_child,supplementary,1,1,1,1,100
Asian,parent_child,autosomal_29,1,1,1,1,100
Asian,second_cousins,core_13,0.53,0.53,0.53,0.53,100
Asian,second_cousins,identifiler_15,0.54,0.54,0.54,0.54,100
Asian,second_cousins,expanded_20,0.53,0.53,0.53,0.53,100
Asian,second_cousins,supplementary,0.54,0.54,0.54,0.54,100
Asian,second_cousins,autosomal_29,0.5,0.5,0.5,0.5,100
Cauc,cousins,core_13,0.6,0.6,0.6,0.6,100
Cauc,cousins,identifiler_15,0.61,0.61,0.61,0.61,100
Cauc,cousins,expanded_20,0.65,0.65,0.65,0.65,100
Cauc,cousins,supplementary,0.65,0.65,0.65,0.65,100
Cauc,cousins,autosomal_29,0.68,0.68,0.68,0.68,100
Cauc,full_siblings,core_13,0.93,0.93,0.93,0.93,100
Cauc,full_siblings,identifiler_15,0.96,0.96,0.96,0.96,100
Cauc,full_siblings,expanded_20,0.99,0.99,0.99,0.99,100
Cauc,full_siblings,supplementary,0.99,0.99,0.99,0.99,100
Cauc,full_siblings,autosomal_29,0.99,0.99,0.99,0.99,100
Cauc,half_siblings,core_13,0.82,0.82,0.82,0.82,100
Cauc,half_siblings,identifiler_15,0.88,0.88,0.88,0.88,100
Cauc,half_siblings,expanded_20,0.92,0.92,0.92,0.92,100
